Index,Date,pressure,temperatureMin,temperatureLow,temperatureMax,temperatureHigh,cloudCover,windSpeed,precipProbability,windGust,windBearing,uvIndex,precipIntensityMax,precipIntensity,ozone,visibility,moonPhase,class
65,9/3/2019,1001,79.41,79.4,93.52,93.52,0.95,9.56,0.52,21.81,121,6,0.0432,0.0051,268.2,9.664,0.16,1
66,9/3/2019,1001,79.07,79.2,93.8,93.8,0.94,9.57,0.51,21.75,120,6,0.0426,0.0048,268.2,9.631,0.16,1
67,9/3/2019,1000.7,79.07,79.23,93.84,93.84,0.94,9.52,0.5,21.75,120,6,0.0391,0.0053,268.2,9.66,0.16,1
68,9/3/2019,1000.7,79.58,79.65,93.42,93.42,0.95,9.56,0.52,21.79,121,6,0.0431,0.005,268.2,9.648,0.16,1
69,9/3/2019,1001,79.32,79.32,93.56,93.56,0.95,9.52,0.53,21.83,121,6,0.0443,0.0054,268.2,9.675,0.16,1
70,9/3/2019,1000.7,79.3,79.83,93.47,93.47,0.92,9.32,0.52,21.77,118,6,0.0419,0.0063,268.2,9.593,0.16,1
71,9/3/2019,1000.7,79.37,80.39,93.48,93.48,0.89,9.24,0.55,21.76,116,6,0.0358,0.0073,268.2,9.543,0.16,1
72,9/4/2019,1001.3,79.41,79.7,92.81,92.81,0.99,10.22,0.2,17.85,123,5,0.0011,0.0002,265.5,10,0.2,1
73,9/4/2019,1001.3,79.55,79.87,92.76,92.76,0.98,10.13,0.2,18,122,5,0.0011,0.0002,265.5,10,0.2,1
74,9/4/2019,1001.3,79.4,79.68,92.73,92.73,0.99,10.19,0.2,17.8,123,5,0.0011,0.0002,265.5,10,0.2,1
75,9/4/2019,1001.2,79.08,79.23,93.02,93.02,0.99,10.22,0.2,17.97,124,5,0.0012,0.0002,265.5,10,0.2,1
76,9/4/2019,1001.2,79.23,79.44,93.03,93.03,0.98,10.13,0.2,18.17,122,5,0.0012,0.0002,265.5,10,0.2,1
77,9/4/2019,1001.2,79.65,79.67,92.53,92.53,0.99,10.21,0.2,17.86,123,5,0.0011,0.0002,265.5,10,0.2,1
78,9/4/2019,1001.3,79.32,79.71,92.68,92.68,0.99,10.11,0.2,17.64,123,5,0.0009,0.0002,265.5,10,0.2,1
79,9/4/2019,1001.2,79.83,80.22,91.84,91.84,0.96,9.86,0.21,17.76,122,5,0.0008,0.0002,265.5,10,0.2,1
80,9/4/2019,1001.2,80.39,80.75,91.65,91.65,0.91,9.74,0.22,18.12,119,6,0.0008,0.0003,265.5,10,0.2,1
81,9/5/2019,1001.3,79.7,79.46,92.89,92.89,0.78,9.98,0.45,22.13,131,6,0.0082,0.003,263.2,9.931,0.23,1
82,9/5/2019,1001.3,79.87,79.47,92.79,92.79,0.79,9.81,0.42,22.19,131,6,0.0091,0.0023,263.2,9.922,0.23,1
83,9/5/2019,1001.3,79.68,79.43,92.86,92.86,0.78,9.92,0.43,22.08,131,6,0.0084,0.0025,263.2,9.917,0.23,1
84,9/5/2019,1001.3,79.15,78.91,93.09,93.09,0.78,9.94,0.43,22.22,131,6,0.0082,0.0022,263.2,9.9,0.23,1
85,9/5/2019,1001,79.44,78.93,92.94,92.94,0.8,9.79,0.42,22.29,131,6,0.0093,0.0024,263.2,9.932,0.23,0
86,9/5/2019,1001,79.67,79.49,92.74,92.74,0.78,9.93,0.43,22.13,131,6,0.0083,0.0024,263.2,9.91,0.23,1
87,9/5/2019,1001.4,79.7,79.43,92.93,92.93,0.78,9.77,0.44,20.53,130,6,0.0087,0.0027,263.2,9.929,0.23,1
88,9/5/2019,1001,80.17,79.61,92.34,92.34,0.79,9.59,0.41,21.91,130,6,0.0107,0.0024,263.2,9.931,0.23,1
89,9/5/2019,1001.1,80.75,79.92,91.65,91.65,0.81,9.32,0.39,20.42,130,6,0.0127,0.0027,263.2,9.915,0.23,1
90,9/6/2019,1000.4,79.46,78.37,93.07,93.07,0.87,11.55,0.47,22.56,130,6,0.0168,0.0042,262.5,10,0.27,1
91,9/6/2019,1000.4,79.47,78.52,93.07,93.07,0.86,11.4,0.45,22.47,129,7,0.0144,0.004,262.6,10,0.27,1
92,9/6/2019,1000.4,79.43,78.38,93.08,93.08,0.87,11.31,0.46,22.5,130,6,0.0155,0.0039,262.5,10,0.27,1
93,9/6/2019,1000.4,78.94,78.05,93.4,93.4,0.87,11.34,0.45,22.49,130,7,0.0143,0.0037,262.5,10,0.27,1
94,9/6/2019,1000,78.96,78.16,93.29,93.29,0.86,11.19,0.44,22.48,129,7,0.0157,0.0041,262.6,10,0.27,1
95,9/6/2019,1000.1,79.49,78.58,93.02,93.02,0.87,11.5,0.46,22.49,130,6,0.0146,0.0038,262.5,10,0.27,0
96,9/6/2019,1000.5,79.43,78.36,93.11,93.11,0.87,11.43,0.47,22.48,130,6,0.0151,0.004,262.5,10,0.27,1
97,9/6/2019,1000.1,79.61,78.9,92.63,92.63,0.83,11.24,0.45,22.44,128,7,0.0139,0.0044,262.6,10,0.27,1
98,9/6/2019,1000.1,79.92,79.43,92.06,92.06,0.78,10.97,0.45,22.44,127,7,0.0161,0.0051,262.7,10,0.27,1
99,9/7/2019,1000.9,78.37,78.04,90.28,90.28,0.76,13.94,0.83,25.08,129,9,0.0918,0.0175,260.5,9.579,0.3,1
100,9/7/2019,1000.9,78.52,78.2,90.2,90.2,0.76,13.8,0.82,25.17,128,8,0.0816,0.0153,260.5,9.673,0.3,1
101,9/7/2019,1000.9,78.38,78.05,90.24,90.24,0.76,13.98,0.83,25.16,129,9,0.093,0.0171,260.5,9.592,0.3,1
102,9/7/2019,1000.9,78.05,77.68,90.11,90.11,0.75,13.99,0.83,25.13,128,9,0.0856,0.016,260.4,9.612,0.3,1
103,9/7/2019,1000.5,78.16,77.75,90.05,90.05,0.76,13.76,0.82,25.11,128,8,0.073,0.0143,260.5,9.717,0.3,1
104,9/7/2019,1000.5,78.58,78.24,90.03,90.03,0.75,13.88,0.83,25.14,129,9,0.0904,0.0167,260.5,9.599,0.3,0
105,9/7/2019,1001,78.36,77.95,90.33,90.33,0.76,13.95,0.83,25.23,129,9,0.0996,0.018,260.5,9.581,0.3,1
106,9/7/2019,1000.6,78.9,78.46,89.65,89.65,0.77,13.35,0.82,25.43,128,8,0.0885,0.0157,260.5,9.703,0.3,1
107,9/7/2019,1000.6,79.43,79.04,88.95,88.95,0.79,12.73,0.8,25.46,126,8,0.0674,0.0126,260.6,9.662,0.3,1
